8411 東証1部 (株)みずほフィナンシャルグループ（銀行業）,,,,,
"2019-02-26","175.2","175.6","174.2","175.1","97329100","175.1"
"2019-02-27","175.5","176","174.9","175.4","85940900","175.4"
"2019-02-28","175.5","176.1","175","175.2","92084900","175.2"
"2019-03-01","176.2","176.5","175.4","175.5","80518700","175.5"
"2019-03-04","176.8","177.2","175.9","176.1","78567500","176.1"
"2019-03-05","175","176","174.7","175.9","94529600","175.9"
"2019-03-06","175.4","175.5","174.7","175.2","90679200","175.2"
"2019-03-07","172.4","172.7","171.5","172.5","175067400","172.5"
"2019-03-08","170.7","171.3","169.5","170.1","184222200","170.1"
"2019-03-11","169.5","171.1","169.1","170.2","84924600","170.2"
"2019-03-12","170.8","172.8","170.7","171.9","104984000","171.9"
"2019-03-13","170.8","172","170.5","171.9","102269600","171.9"
"2019-03-14","172.5","173.2","171.1","171.1","92659000","171.1"
"2019-03-15","171.2","173.3","171.2","172.5","128053000","172.5"
"2019-03-18","173","173.7","172.7","173.6","97534600","173.6"
"2019-03-19","173","174.7","172.8","174.2","118116700","174.2"
"2019-03-20","175","175.7","174.6","175.5","106216600","175.5"
"2019-03-22","174.5","175.7","173.3","175.5","115652900","175.5"
"2019-03-25","173","174","172.3","173.6","116869400","173.6"
"2019-03-26","173.7","175","172.8","174.7","188826800","174.7"
"2019-03-27","170.6","172","170.5","171.4","121974800","171.4"
"2019-03-28","171","171.3","169.9","171.1","96741900","171.1"
"2019-03-29","172","172.5","171.2","171.3","91423600","171.3"
"2019-04-01","173","175","172.7","173.3","134386800","173.3"
"2019-04-02","175.5","175.7","174","174.1","101147300","174.1"
"2019-04-03","174","175.4","173.7","174.9","95897100","174.9"
"2019-04-04","174.7","175.4","174.4","174.8","56623100","174.8"
"2019-04-05","174.4","175.2","174.1","174.8","87272700","174.8"
"2019-04-08","174.6","174.8","173.4","174.1","66235700","174.1"
"2019-04-09","173.4","173.8","172.5","173.6","65084600","173.6"
"2019-04-10","172.3","172.6","171.4","172.6","62880900","172.6"
"2019-04-11","171.6","171.9","170.5","171.6","69922000","171.6"
"2019-04-12","172.6","173.1","171.7","171.7","58891000","171.7"
"2019-04-15","173.8","174.4","172.8","173.6","86991200","173.6"
"2019-04-16","172.9","173.9","172.6","173.6","48859800","173.6"
"2019-04-17","174.7","176.4","174.5","175.5","134686900","175.5"
"2019-04-18","175.9","177.5","175.2","175.6","85117400","175.6"
"2019-04-19","175.8","176","174.3","174.3","58140100","174.3"
"2019-04-22","173.4","174.2","172.7","174.2","50160900","174.2"
"2019-04-23","174.5","174.9","174","174.1","50320700","174.1"
"2019-04-24","174","174.2","172.2","172.8","76755700","172.8"
"2019-04-25","173","174","172","173","64067300","173"
"2019-04-26","172.1","173.9","171.9","173.5","77014200","173.5"
"2019-05-07","174.4","174.6","171.4","172.5","97486500","172.5"
"2019-05-08","171","171.1","169.4","170.4","110417500","170.4"
"2019-05-09","169.2","169.4","166.8","167.5","113180700","167.5"
"2019-05-10","167.5","168.3","166.1","167.3","108084100","167.3"
"2019-05-13","165.5","165.8","164.3","165.6","76394900","165.6"
"2019-05-14","162.5","165.2","162.3","165.2","89967400","165.2"
"2019-05-15","164.9","164.9","163.6","164.4","77636400","164.4"
"2019-05-16","163.5","163.6","161.2","161.9","115711400","161.9"
"2019-05-17","162.7","162.7","160.9","161","108869000","161"
"2019-05-20","160.5","161.2","156.6","158.8","150271500","158.8"
"2019-05-21","158","158.1","156.3","158","95143300","158"
"2019-05-22","159.2","159.4","157.5","157.6","88509200","157.6"
"2019-05-23","157.2","157.8","155.8","156.8","87092500","156.8"
"2019-05-24","155.8","157.4","155.6","157","82786000","157"
"2019-05-27","156.8","157.7","156.5","156.9","46043100","156.9"
"2019-05-28","156.8","157.8","156.3","157.3","158559300","157.3"
"2019-05-29","156","156.1","155.2","155.3","96079100","155.3"
"2019-05-30","155","155.9","154.5","155.9","76603200","155.9"
"2019-05-31","155","155.3","153.5","153.7","125444200","153.7"
"2019-06-03","151.1","151.9","150.4","151.6","104490300","151.6"
"2019-06-04","151","151.1","150.1","150.7","88703700","150.7"
"2019-06-05","153","154.2","152.2","153.1","108295900","153.1"
"2019-06-06","152.9","153.5","152.4","152.7","76750000","152.7"
"2019-06-07","152.8","153","152","152.6","58823800","152.6"
"2019-06-10","152.8","153.1","151.8","152.8","66860000","152.8"
"2019-06-11","153.4","154.5","153.2","154.4","69834100","154.4"
"2019-06-12","153.3","153.4","152.5","152.7","79626200","152.7"
"2019-06-13","152","152.3","150.9","152.3","114954300","152.3"
"2019-06-14","152","152.4","151.1","152.1","68699100","152.1"
"2019-06-17","152","152.1","151.3","151.4","62959900","151.4"
"2019-06-18","152","152.3","151","151.8","72882400","151.8"
"2019-06-19","153","153.5","152.7","153","71984300","153"
"2019-06-20","153.1","154.7","153.1","154.1","78735600","154.1"
"2019-06-21","154","154.5","153","154.4","116479400","154.4"
"2019-06-24","154","155.1","153.5","154.6","50488900","154.6"
"2019-06-25","154.1","155","153.4","153.8","71429800","153.8"
"2019-06-26","153.6","154.9","153.3","154.3","63461900","154.3"
"2019-06-27","154.5","156.4","154.4","156.3","74197400","156.3"
"2019-06-28","156","156.5","155.1","156.1","66256000","156.1"
"2019-07-01","158.1","158.5","157.2","157.7","83558200","157.7"
"2019-07-02","157.8","158.3","157.4","157.6","68933400","157.6"
"2019-07-03","157","157.2","155.5","157.1","69356600","157.1"
"2019-07-04","157","157.7","156.4","157.5","42818900","157.5"
"2019-07-05","158","158.8","157.8","157.8","62289100","157.8"
"2019-07-08","158.8","159.7","158.3","158.7","85834200","158.7"
"2019-07-09","159.6","160.2","158.8","159.3","80937500","159.3"
"2019-07-10","159.5","159.6","158.1","158.5","73964500","158.5"
"2019-07-11","158","158.9","157.5","158.8","59274000","158.8"
"2019-07-12","159.3","159.5","158.4","159.1","57450000","159.1"
"2019-07-16","158.9","159.1","158.3","158.6","65343100","158.6"
"2019-07-17","158.4","158.9","157.6","158","73515300","158"
"2019-07-18","157.3","157.3","155.7","155.9","99942900","155.9"
"2019-07-19","156.6","158.3","155.9","157.3","89132400","157.3"
"2019-07-22","157.6","158.6","157.4","158.5","68045300","158.5"
"2019-07-23","157.8","158.5","156.8","158","64323300","158"
"2019-07-24","159","159.1","157.7","158","66160400","158"
"2019-07-25","158.5","158.6","157.7","158","46045900","158"
"2019-07-26","157.1","157.4","156.5","157.4","58687900","157.4"
"2019-07-29","157.5","157.6","156.6","157.1","51366400","157.1"
"2019-07-30","156.8","157.2","156.2","157","64177100","157"
"2019-07-31","155.6","155.7","154.4","154.4","98651200","154.4"
"2019-08-01","155.6","159.4","155.5","159","152612100","159"
"2019-08-02","156.2","156.7","155.5","156.2","129941100","156.2"
"2019-08-05","155.6","156.2","154.9","155.9","111038900","155.9"
"2019-08-06","153","155.4","152.7","155.4","144162600","155.4"
"2019-08-07","155.7","157.2","154.9","155.5","112492900","155.5"
"2019-08-08","155.3","155.5","154.8","155.1","79465300","155.1"
"2019-08-09","155.3","155.5","154.8","155.4","68961500","155.4"
"2019-08-13","154.6","155","152.8","153.6","87441900","153.6"
"2019-08-14","154.3","154.5","153.7","154.1","78644700","154.1"
"2019-08-15","152.1","153.5","151.6","153.3","84355600","153.3"
"2019-08-16","153","154.1","152.4","153.8","71971500","153.8"
"2019-08-19","154.5","155.5","154.3","155.2","61355600","155.2"
"2019-08-20","156","156.5","155.7","156","56462000","156"
"2019-08-21","154.3","154.8","153.9","154.3","73768900","154.3"
"2019-08-22","154.5","154.7","153.6","154.3","63459300","154.3"
"2019-08-23","154.2","155.6","154.1","154.9","63219500","154.9"
"2019-08-26","152.3","153.5","151.4","152.9","119891800","152.9"
"2019-08-27","154.1","154.4","152.6","152.9","86047600","152.9"
"2019-08-28","152.3","153.1","152.2","152.8","59652200","152.8"
"2019-08-29","152.5","152.8","152.2","152.7","54764100","152.7"
"2019-08-30","153.7","155","153.5","154.7","117566800","154.7"
"2019-09-02","153.5","155.6","153.3","155.2","54584400","155.2"
"2019-09-03","154.7","155.7","154.7","155.1","53669200","155.1"
"2019-09-04","154.6","155.5","154.1","155.1","62170900","155.1"
"2019-09-05","156.4","158.4","156.4","157.4","125393900","157.4"
"2019-09-06","158.6","159.4","158.2","158.4","77598200","158.4"
"2019-09-10","161","164.4","160.2","164.2","188713200","164.2"
"2019-09-11","167.4","168.4","166.4","167.4","196484800","167.4"
"2019-09-12","168.2","168.5","166.3","167.9","138294100","167.9"
"2019-09-13","168","168.1","166.5","168","149670700","168"
"2019-09-17","167.4","169.7","167.3","168.9","107689700","168.9"
"2019-09-18","168.3","168.5","167","168.1","80772200","168.1"
"2019-09-19","169.5","170.3","168.1","168.5","120104600","168.5"
"2019-09-20","168.9","170.5","168.8","170.1","111436900","170.1"
"2019-09-24","170.2","171","170.1","170.5","79728400","170.5"
"2019-09-25","169.5","170.6","168.9","170.3","74482400","170.3"
"2019-09-26","171","171.4","170.1","170.6","116421400","170.6"
"2019-09-27","167.2","167.6","165.3","166.9","113644600","166.9"
"2019-09-30","166","166.3","164.8","165.6","99490800","165.6"
"2019-10-01","165.9","167.2","165.9","166.5","78179900","166.5"
"2019-10-02","164.7","166.6","164.2","166.5","72057700","166.5"
"2019-10-03","163.6","164.7","162.3","164.2","108033700","164.2"
"2019-10-04","163.1","163.2","162.4","163.2","73163500","163.2"
